,Unnamed: 0.1,Unnamed: 0,Sukupuoli,Minkä ikäisenä opit neulomaan?,Kuka sinut opetti neulomaan?,Mitä seuraavista vaihtoehdoista neulot?,Missä neulot?,Neulotko yksin vai yhdessä?,Kuinka monta tuntia arviolta neulot viikossa?,Mitä neulominen sinulle merkitsee?,Paljonko käytät lankoihin keskimäärin rahaa kuukaudessa?,Minkä valmistajien lankoja ostat?,Valitse kolme tärkeintä ominaisuutta lankaa valitessa,Kenelle neulot?,Minkä vahvuisia lankoja käytät?,Mistä hankit neuleohjeesi?,Mitä seuraavista neulot mieluiten?,Mitä värejä käytät neuleissasi mieluiten?,Käytätkö ennemmin murrettuja vai kirkkaita sävyjä?,Mitä materiaaleja suosit neulelangoissa?,Mitä materiaaleja suosit neulepuikoissa?,Teetkö muita käsitöitä?,Teetkö neulonnan ohessa yleensä jotain seuraavista?,"Millaista ""neulesomea"" kulutat netissä?",xMinkä vahvuisia lankoja käytät?
544,544,544,Nainen,20,Opettelin itse,Sukkia/tossuja;Säärystimiä;Pipoja/päähineitä;Huiveja/ponchoja;Neulepaitoja;Neuletakkeja,Kotona/vapaa-ajan asunnolla,Yksin,6-9 tuntia,Rentoutumista;Muistin ja toimintakyvyn ylläpitoa;Tarpeeseen tekemistä,10 - 19 €,Adlibris;Austermann;DROPS;Istex;Lankava;Novita;Sandnes Garn;Viking Garn,Konepestävyys;Vahvuus;Väri,Itselle;Perheelle;Hyväntekeväisyyteen,Lace (605–1000 m / 100 g);Fingering (365–450 m / 100 g);Sport (275–360 m / 100 g),Kirjoista;Netistä,Kirjoneuletta;Raitoja;Toistuvaa pintakuviota,"Mustaa, valkoista ja harmaata;Sinistä;Pinkkiä;Lilaa/violettia",Kirkkaita ja neonvärejä,100% villa;Merinovilla;Alpakka;Bambu,Koivu,En juurikaan,Katson televisiota,En mitään yllä olevista,Lace (600–1000 m / 100 g);Fingering (360–450 m / 100 g);Sport (270–360 m / 100 g)
545,545,545,Nainen,9,Opettaja (koulussa tai kurssilla);Äiti;Isoäiti;Opettelin itse,Sukkia/tossuja;Säärystimiä;Lapasia/sormikkaita;Pipoja/päähineitä;Huiveja/ponchoja;Neulepaitoja,Kotona/vapaa-ajan asunnolla;Elokuvateatterissa (neulenäytös);Kahvilassa;Julkisessa liikenteessä;Neuletapahtumissa;Puistossa;Rannalla;Autossa;Nuotiopaikoilla/laavulla/taukopaikalla;Odotustilassa (esim. terveyskeskus/virasto);Neulekurssilla;Kirjastossa;Käsityöyhdistyksen tiloissa;Luennolla/Palaverissa;Juuri äsken vanhempainillassa,Yksin;Perheen seurassa;Ystävien kesken,6-9 tuntia,"Rentoutumista;Itseilmaisua;Neulominen auttaa keskittymään. Tästä oli hyvä julkaisu, kuinka neulominen on apuväline. Minusta tulee häirikkö enkä jaksa kuunnella jos käsillä ei ole tekemistä. ",10 - 19 €,Adlibris;DROPS;Gjestal;Istex;Novita;Viking Garn,Konepestävyys;Vahvuus;Väri,Itselle;Perheelle;Sukulaisille;Ystäville;Hyväntekeväisyyteen,DK (220–270 m / 100 g);Worsted (205–240 m / 100 g),Kirjoista;Lehdistä;Netistä;Ystäviltä tai sukulaisilta;Omasta päästä,Kirjoneuletta;Raitoja;Pitsineuletta;Palmikkoneuletta;Toistuvaa pintakuviota;Yksiväristä ilman pintakuvioita;Kausittain kaikkia yllämainittuja,"Mustaa, valkoista ja harmaata;Punaista;Pinkkiä;Lilaa/violettia",Kirkkaita ja neonvärejä,100% villa;Villasekoite,Bambu,Virkkaus;Kudonta;Ompelu;Remontointi ja myös puutarhatyöt ja sinne monenlaisen värkkääminen ovat mielestäni käsitöitä. Myös leipominen ja erityisesti pikkukoristeiden värkkääminen ovat käsitöitä. ,Kuuntelen äänikirjaa;Katson televisiota;Seurustelen ihmisten kanssa;Kuuntelen luentia/palaberia/kokousta,Facebook-sivut;Facebook-ryhmät;Pinterest,DK (220–270 m / 100 g);Worsted (200–240 m / 100 g)
546,546,546,Nainen,7,Äiti,Sukkia/tossuja;Lapasia/sormikkaita;Pipoja/päähineitä;Neulepaitoja;Neuletakkeja,Kotona/vapaa-ajan asunnolla,Yksin,2-5 tuntia,Rentoutumista;Muistin ja toimintakyvyn ylläpitoa;Tarpeeseen tekemistä,30 - 39 €,Lankava;Novita;Opal;Regia,Kotimaisuusaste;Materiaali;Vahvuus,Itselle;Perheelle;Sukulaisille;Ystäville,Fingering (365–450 m / 100 g);Sport (275–360 m / 100 g);DK (220–270 m / 100 g),Kirjoista;Lehdistä;Netistä,Kirjoneuletta,"Mustaa, valkoista ja harmaata;Sinistä;Keltaista","Murrettuja, luonnonläheisiä sävyjä",Villasekoite,Metalli,Virkkaus;Macrame,Kuuntelen äänikirjaa;Katson televisiota,Facebook-sivut;Facebook-ryhmät;Pinterest;Ravelry;Youtube,Fingering (360–450 m / 100 g);Sport (270–360 m / 100 g);DK (220–270 m / 100 g)
547,547,547,Mies,9,Opettaja (koulussa tai kurssilla);Äiti;Opettelin itse,Sukkia/tossuja;Lapasia/sormikkaita;Pipoja/päähineitä;Huiveja/ponchoja;Neulepaitoja;Neuletakkeja,Kotona/vapaa-ajan asunnolla;Julkisessa liikenteessä;Luennolla/Palaverissa,Yksin;Perheen seurassa,20-29 tuntia,Rentoutumista;Itseilmaisua;Luovuutta;Muistin ja toimintakyvyn ylläpitoa;Eettisiä/ekologisia vaatteita;Tarpeeseen tekemistä;Ystävien ilahduttamista ,20 - 29 €,Istex;Kaupunkilanka;Louhittaren Luola;Novita;Pirtin Kehräämö;Hedgehog Fibers,Hinta;Materiaali;Vahvuus,Itselle;Perheelle;Sukulaisille;Ystäville,Lace (605–1000 m / 100 g);Light fingering (455–600 m / 100 g);Fingering (365–450 m / 100 g);Sport (275–360 m / 100 g);DK (220–270 m / 100 g);Worsted (205–240 m / 100 g);Aran (165–200 m / 100 g);Chunky (80–160 m / 100 g),Kirjoista;Lehdistä;Netistä,Raitoja;Yksiväristä ilman pintakuvioita,"Mustaa, valkoista ja harmaata;Keltaista;Pinkkiä",Kirkkaita ja neonvärejä,100% villa;Villasekoite;Merinovilla;Alpakka,Hiilikuitu;Alumiini,Virkkaus;Askartelu,Kuuntelen äänikirjaa;Katson televisiota,Instagram;Facebook-ryhmät;Pinterest;Ravelry,Lace (600–1000 m / 100 g);Light fingering (450–600 m / 100 g);Fingering (360–450 m / 100 g);Sport (270–360 m / 100 g);DK (220–270 m / 100 g);Worsted (200–240 m / 100 g);Aran (160–200 m / 100 g);Chunky (80–160 m / 100 g)
548,548,548,Nainen,6,Isoäiti,Sukkia/tossuja;Säärystimiä;Lapasia/sormikkaita;Pipoja/päähineitä;Neulepaitoja,Kotona/vapaa-ajan asunnolla;Julkisessa liikenteessä;Autossa;Luennolla/Palaverissa,Yksin,2-5 tuntia,Rentoutumista;Tarpeeseen tekemistä;Itse tehdyn lahjan antamisen iloa,10 - 19 €,Austermann;Istex;Katia;Lankava;Novita;Regia;LaurelKnits,Materiaali;Vahvuus;Väri,Itselle;Perheelle;Sukulaisille;Ystäville,Fingering (365–450 m / 100 g);Sport (275–360 m / 100 g);DK (220–270 m / 100 g);Worsted (205–240 m / 100 g);Aran (165–200 m / 100 g);Chunky (80–160 m / 100 g),Kirjoista;Lehdistä;Netistä;Omasta päästä,Kirjoneuletta;Pitsineuletta,"Mustaa, valkoista ja harmaata;Sinistä;Vihreää;Keltaista;Oranssia;Beigeä, ruskeaa","Murrettuja, luonnonläheisiä sävyjä",100% villa;Merinovilla;Alpakka;Silkki;Kashmir,Metalli,Ompelu;Tuftaus,Katson televisiota;Seurustelen ihmisten kanssa;Seuraan palaveria,Instagram;Facebook-ryhmät;Ravelry;Neuleblogit,Fingering (360–450 m / 100 g);Sport (270–360 m / 100 g);DK (220–270 m / 100 g);Worsted (200–240 m / 100 g);Aran (160–200 m / 100 g);Chunky (80–160 m / 100 g)
549,549,549,Nainen,7,Täti,Sukkia/tossuja;Neulepaitoja;Neuletakkeja,Kotona/vapaa-ajan asunnolla;Kahvilassa;Julkisessa liikenteessä;Neuletapahtumissa;Puistossa;Rannalla;Autossa;Nuotiopaikoilla/laavulla/taukopaikalla;Odotustilassa (esim. terveyskeskus/virasto);Neulekurssilla;Kirjastossa;Luennolla/Palaverissa,Yksin,20-29 tuntia,Rentoutumista;Tarpeeseen tekemistä,50 - 59 €,Louhittaren Luola;Nurja;Pirtin Kehräämö;Tukuwool;Vuonue,Kotimaisuusaste;Materiaali;Vahvuus,Itselle;Perheelle,Fingering (365–450 m / 100 g);Sport (275–360 m / 100 g);DK (220–270 m / 100 g),Kirjoista;Lehdistä;Netistä,Kirjoneuletta,"Mustaa, valkoista ja harmaata;Keltaista;Punaista;Beigeä, ruskeaa","Murrettuja, luonnonläheisiä sävyjä",100% villa;Merinovilla;Mohair,Koivu;Metalli,Virkkaus;Tuftaus;Tuohityöt,Luen;Katson televisiota,Instagram;Facebook-ryhmät;Ravelry,Fingering (360–450 m / 100 g);Sport (270–360 m / 100 g);DK (220–270 m / 100 g)
550,550,550,Nainen,9,Opettaja (koulussa tai kurssilla),Sukkia/tossuja;Säärystimiä;Lapasia/sormikkaita;Pipoja/päähineitä;Huiveja/ponchoja;Neulepaitoja;Neuletakkeja,Kotona/vapaa-ajan asunnolla;Kahvilassa;Julkisessa liikenteessä;Neuletapahtumissa;Autossa;Odotustilassa (esim. terveyskeskus/virasto);Kampaajalla,Yksin;Perheen seurassa;Ystävien kesken;Neulekerhossa tai -kahvilassa,10-19 tuntia,"Rentoutumista;Itseilmaisua;Luovuutta;Muistin ja toimintakyvyn ylläpitoa;Sosiaalista kanssakäymistä, yhdessä oloa;Tarpeeseen tekemistä",50 - 59 €,"Austermann;DROPS;Gjestal;Handu;Holst Garn;Istex;Lankava;Louhittaren Luola;Lucky Omen Yarns;Novita;Nurja;Opal;Pirtin Kehräämö;Regia;Rva Silmusolmu;Sandnes Garn;Tukuwool;JärboGarn, Schachemayr, Säie Wool, Ullrike by Anki, Kettu Yarns, Aara, Wollmeise, Nako, Filcolana",Käsinvärjätty;Materiaali;Väri,Itselle;Perheelle;Sukulaisille;Ystäville,Fingering (365–450 m / 100 g);Sport (275–360 m / 100 g);DK (220–270 m / 100 g);Worsted (205–240 m / 100 g);Aran (165–200 m / 100 g),Kirjoista;Lehdistä;Netistä;Omasta päästä,Kirjoneuletta;Raitoja;Pitsineuletta;Palmikkoneuletta,Vihreää;Pinkkiä;Lilaa/violettia,"Murrettuja, luonnonläheisiä sävyjä",100% villa;Villasekoite;Merinovilla;Jakki;Bambu,Metalli;Alumiini,Virkkaus,Luen;Kuuntelen äänikirjaa;Katson televisiota;Seurustelen ihmisten kanssa,Instagram;Facebook-ryhmät;Ravelry;Neuleblogit;Youtube;Omaa neuleblogia päivitän,Fingering (360–450 m / 100 g);Sport (270–360 m / 100 g);DK (220–270 m / 100 g);Worsted (200–240 m / 100 g);Aran (160–200 m / 100 g)
551,551,551,Muu,8,Opettaja (koulussa tai kurssilla),Sukkia/tossuja;Säärystimiä;Lapasia/sormikkaita;Pipoja/päähineitä;Huiveja/ponchoja;Neulepaitoja;Neuletakkeja;Housuja;Hameita/mekkoja;Sisustustekstiilejä (kuten tyynyjä tai vilttejä);lemmikin ja nuken vaatteita,Kotona/vapaa-ajan asunnolla;Kahvilassa;Julkisessa liikenteessä;Neuletapahtumissa;Autossa;Odotustilassa (esim. terveyskeskus/virasto);Käsityöyhdistyksen tiloissa;Luennolla/Palaverissa,Yksin;Ystävien kesken;Neulekerhossa tai -kahvilassa,10-19 tuntia,Rentoutumista;Luovuutta;Eettisiä/ekologisia vaatteita,20 - 29 €,"Austermann;DROPS;Gjestal;Holst Garn;Katia;Kaupunkilanka;Louhittaren Luola;Opal;Pirtin Kehräämö;Rva Silmusolmu;SagaWool;Sandnes Garn;Vuonue;wild atlantic yarn, scheepjes, schoppel-wolle, onion, gepard, lang yarns, isager",Kotimaisuusaste;Vastuullisuus;Väri,Itselle;Perheelle;Ystäville,Lace (605–1000 m / 100 g);Light fingering (455–600 m / 100 g);Fingering (365–450 m / 100 g);Sport (275–360 m / 100 g);DK (220–270 m / 100 g);Worsted (205–240 m / 100 g),Kirjoista;Lehdistä;Netistä,Kirjoneuletta;Yksiväristä ilman pintakuvioita,"Mustaa, valkoista ja harmaata;Vihreää;Oranssia;Pinkkiä;Lilaa/violettia",Kirkkaita ja neonvärejä,"100% villa;Villasekoite;Puuvilla;Merinovilla;Alpakka;Mohair;Silkki;Bambu;Pellava;Viskoosi/lyocell;Hamppu;nokkonen, tencel",Koivu;Bambu,Virkkaus;Kirjonta/ristipistot;Kudonta;Ompelu,Kuuntelen radiota/musiikkia;Kuuntelen äänikirjaa;Katson televisiota;Seurustelen ihmisten kanssa,Instagram;Facebook-ryhmät;Ravelry;Youtube,Lace (600–1000 m / 100 g);Light fingering (450–600 m / 100 g);Fingering (360–450 m / 100 g);Sport (270–360 m / 100 g);DK (220–270 m / 100 g);Worsted (200–240 m / 100 g)
552,552,552,Nainen,9,Opettaja (koulussa tai kurssilla),Sukkia/tossuja;Lapasia/sormikkaita;Huiveja/ponchoja;Sisustustekstiilejä (kuten tyynyjä tai vilttejä),Kotona/vapaa-ajan asunnolla,Yksin,2-5 tuntia,Rentoutumista,30 - 39 €,Kaupunkilanka;Kotikulta;Lankava;Novita,Hinta;Konepestävyys;Kotimaisuusaste,Perheelle;Sukulaisille,DK (220–270 m / 100 g),Omasta päästä,Raitoja,Sinistä;Punaista,"Murrettuja, luonnonläheisiä sävyjä",Villasekoite,Koivu,Virkkaus,Kuuntelen äänikirjaa;Katson televisiota,Instagram;Pinterest,DK (220–270 m / 100 g)
553,553,553,Nainen,8,Opettaja (koulussa tai kurssilla),Sukkia/tossuja;Lapasia/sormikkaita,Kotona/vapaa-ajan asunnolla;Julkisessa liikenteessä;Odotustilassa (esim. terveyskeskus/virasto),Yksin;Perheen seurassa;Ystävien kesken,2-5 tuntia,"Rentoutumista;Itseilmaisua;Luovuutta;Tarpeeseen tekemistä;Hyväntekeväisyyttä, toisten auttamista",10 - 19 €,Adlibris;Austermann;DROPS;Katia;Louhittaren Luola;Novita;Regia;Sandnes Garn;Muita pientuottajien lankoja,Vahvuus;Vastuullisuus;Väri,Itselle;Perheelle;Sukulaisille;Ystäville,Light fingering (455–600 m / 100 g);Fingering (365–450 m / 100 g);Sport (275–360 m / 100 g);DK (220–270 m / 100 g),Kirjoista;Lehdistä;Netistä;Omasta päästä,Kirjoneuletta;Pitsineuletta,"Mustaa, valkoista ja harmaata;Sinistä;Vihreää;Keltaista;Punaista;Oranssia;Pinkkiä;Lilaa/violettia;Beigeä, ruskeaa","Murrettuja, luonnonläheisiä sävyjä",Villasekoite;Merinovilla;Alpakka;Mohair;Silkki,Koivu;Metalli;Hiilikuitu,Kirjonta/ristipistot;Ompelu;Askartelu,Kuuntelen radiota/musiikkia;Katson televisiota;Seurustelen ihmisten kanssa;Keskityn vain neulomiseen,Facebook-sivut;Facebook-ryhmät;Pinterest;Ravelry;Neuleblogit;Youtube,Light fingering (450–600 m / 100 g);Fingering (360–450 m / 100 g);Sport (270–360 m / 100 g);DK (220–270 m / 100 g)
554,554,554,Nainen,21,Isoäiti,Sukkia/tossuja;Lapasia/sormikkaita;Pipoja/päähineitä;Huiveja/ponchoja;Neulepaitoja;Neuletakkeja,Kotona/vapaa-ajan asunnolla;Kirkossa;Luennolla/Palaverissa,Yksin;Ystävien kesken,2-5 tuntia,"Rentoutumista;Itseilmaisua;Luovuutta;Tarpeeseen tekemistä;Hyväntekeväisyyttä, toisten auttamista",Alle 10 €,Austermann;DROPS;Sandnes Garn;Viking Garn,Materiaali;Vahvuus;Väri,Itselle;Perheelle;Hyväntekeväisyyteen,Fingering (365–450 m / 100 g);Sport (275–360 m / 100 g);DK (220–270 m / 100 g);Worsted (205–240 m / 100 g),Kirjoista;Netistä,Kirjoneuletta;Raitoja;Pitsineuletta,Sinistä;Vihreää;Keltaista,"Murrettuja, luonnonläheisiä sävyjä",Villasekoite;Merinovilla,Koivu,Virkkaus;Macrame;Askartelu,Kuuntelen radiota/musiikkia;Katson televisiota,Instagram;Facebook-sivut;Facebook-ryhmät;Pinterest;Ravelry,Fingering (360–450 m / 100 g);Sport (270–360 m / 100 g);DK (220–270 m / 100 g);Worsted (200–240 m / 100 g)
555,555,555,Nainen,10,Opettaja (koulussa tai kurssilla),Sukkia/tossuja;Säärystimiä;Lapasia/sormikkaita;Pipoja/päähineitä;Huiveja/ponchoja;Neuletakkeja;Hameita/mekkoja,Kotona/vapaa-ajan asunnolla;Kahvilassa;Julkisessa liikenteessä;Neuletapahtumissa;Puistossa;Rannalla;Autossa;Odotustilassa (esim. terveyskeskus/virasto);Kirjastossa;Luennolla/Palaverissa,Yksin;Perheen seurassa;Ystävien kesken;Neulekerhossa tai -kahvilassa,30-39 tuntia,"Rentoutumista;Luovuutta;Tarpeeseen tekemistä;Hyväntekeväisyyttä, toisten auttamista",30 - 39 €,Austermann;DROPS;Gjestal;Katia;Kotikulta;Lankava;MyHome;Novita;Opal;Regia,Hinta;Konepestävyys;Materiaali,Itselle;Perheelle;Ystäville;Hyväntekeväisyyteen,Fingering (365–450 m / 100 g);Sport (275–360 m / 100 g);Worsted (205–240 m / 100 g),Netistä;Omasta päästä,Raitoja;Yksiväristä ilman pintakuvioita,Vihreää;Keltaista;Oranssia;Pinkkiä;Lilaa/violettia,Kirkkaita ja neonvärejä,Villasekoite;Puuvilla,Koivu;Metalli,Virkkaus;Kirjonta/ristipistot;Ompelu;Askartelu,Kuuntelen radiota/musiikkia;Kuuntelen äänikirjaa;Seurustelen ihmisten kanssa,Neulepodcastit;Instagram;Pinterest;Youtube;Neulontaan liittyvät sarjat esim Areenassa,Fingering (360–450 m / 100 g);Sport (270–360 m / 100 g);Worsted (200–240 m / 100 g)
556,556,556,Nainen,10,Isoäiti,Sukkia/tossuja;Lapasia/sormikkaita;Huiveja/ponchoja;Neulepaitoja;Neuletakkeja,Kotona/vapaa-ajan asunnolla;Kahvilassa;Julkisessa liikenteessä;Neuletapahtumissa;Puistossa;Rannalla;Autossa;Odotustilassa (esim. terveyskeskus/virasto);Käsityöyhdistyksen tiloissa;Luennolla/Palaverissa,Yksin,10-19 tuntia,"Rentoutumista;Sosiaalista kanssakäymistä, yhdessä oloa;Tarpeeseen tekemistä;Koska se tekee minusta onnellisen.",20 - 29 €,DROPS;Handu;Idän kehräämö;Istex;Jalovilla;Katia;Louhittaren Luola;Lucky Omen Yarns;Novita;Nurja;Pirtin Kehräämö;Rva Silmusolmu;Wool me once;Skeinfinity,Materiaali;Vahvuus;Väri,Itselle;Perheelle;Sukulaisille,Lace (605–1000 m / 100 g);Light fingering (455–600 m / 100 g);Fingering (365–450 m / 100 g);Sport (275–360 m / 100 g);DK (220–270 m / 100 g);Worsted (205–240 m / 100 g);Aran (165–200 m / 100 g);Chunky (80–160 m / 100 g),Kirjoista;Lehdistä;Netistä,Pitsineuletta,Sinistä;Vihreää;Pinkkiä,Kirkkaita ja neonvärejä,100% villa;Merinovilla;Alpakka;Mohair;Silkki,Alumiini,"Ompelu;Nahkatyöt;Langanvärjäys;Muinaistekniikoita, kinnasneula, spiraali, lautanauha, kehräys  värttinällä ja rukilla",Kuuntelen äänikirjaa;Katson televisiota;Seurustelen ihmisten kanssa,Instagram;Facebook-ryhmät;Ravelry;Youtube,Lace (600–1000 m / 100 g);Light fingering (450–600 m / 100 g);Fingering (360–450 m / 100 g);Sport (270–360 m / 100 g);DK (220–270 m / 100 g);Worsted (200–240 m / 100 g);Aran (160–200 m / 100 g);Chunky (80–160 m / 100 g)
557,557,557,Nainen,11,Opettaja (koulussa tai kurssilla);Isoäiti,Sukkia/tossuja;Lapasia/sormikkaita;Pipoja/päähineitä;Huiveja/ponchoja;Neulepaitoja,Kotona/vapaa-ajan asunnolla;Julkisessa liikenteessä;Autossa;Luennolla/Palaverissa,Yksin;Perheen seurassa,10-19 tuntia,Rentoutumista,20 - 29 €,DROPS;Lankava;Novita;Pirtin Kehräämö,Hinta;Materiaali;Väri,Itselle;Perheelle,Fingering (365–450 m / 100 g);Sport (275–360 m / 100 g);DK (220–270 m / 100 g);Worsted (205–240 m / 100 g),Kirjoista;Lehdistä;Netistä,Kirjoneuletta,"Mustaa, valkoista ja harmaata;Sinistä;Vihreää;Punaista;Lilaa/violettia;Beigeä, ruskeaa","Murrettuja, luonnonläheisiä sävyjä",100% villa;Villasekoite;Merinovilla;Alpakka,Metalli;Bambu,En juurikaan,Kuuntelen radiota/musiikkia;Kuuntelen äänikirjaa;Katson televisiota;Keskityn vain neulomiseen,Facebook-ryhmät;Pinterest;Ravelry;Youtube,Fingering (360–450 m / 100 g);Sport (270–360 m / 100 g);DK (220–270 m / 100 g);Worsted (200–240 m / 100 g)
558,558,558,Nainen,14,Opettaja (koulussa tai kurssilla);Isoäiti,Sukkia/tossuja;Huiveja/ponchoja;Neulepaitoja,Kotona/vapaa-ajan asunnolla;Luennolla/Palaverissa,Yksin;Perheen seurassa;Ystävien kesken,Tunnin tai vähemmän,Rentoutumista;Itseilmaisua;Eettisiä/ekologisia vaatteita;Tarpeeseen tekemistä;Auttaa keskittymään työ- ja harrastuspalavereissa. ,Alle 10 €,DROPS;Novita;Nurja;Viking Garn;Käytän itse kehräämiäni villalankoja. ,Konepestävyys;Vastuullisuus;Väri,Itselle;Perheelle;Sukulaisille;Ystäville,Fingering (365–450 m / 100 g);DK (220–270 m / 100 g),Netistä;Ystäviltä tai sukulaisilta;Omasta päästä,Kirjoneuletta;Yksiväristä ilman pintakuvioita,Sinistä;Vihreää;Pinkkiä,"Murrettuja, luonnonläheisiä sävyjä",100% villa;Villasekoite;Merinovilla,Koivu;Metalli;Bambu,"Virkkaus;Kirjonta/ristipistot;Kudonta;Ompelu;Pitsinnypläys;Puutyöt;Metallityöt;Askartelu;Huovutus;Langanvärjäys;Kasvatan, käsittelen ja kehrään pellavaa. Villankin otan mieluiten itse lampaan selästä silloin kun mahdollista, ja käsittelen kotona. 😊 Kutomisesta erottelisin erikseen kankaan, pirtanauhojen ja lautanauhojen kutomisen, kun näitä kaikkia teen. 😄 Neulakinnasompeluakin harjoittelen.",Kuuntelen äänikirjaa;Katson televisiota;Seurustelen ihmisten kanssa,Instagram;Facebook-ryhmät;Ravelry;Youtube,Fingering (360–450 m / 100 g);DK (220–270 m / 100 g)
559,559,559,Nainen,8,Isoäiti;Täti,Sukkia/tossuja;Säärystimiä;Lapasia/sormikkaita;Pipoja/päähineitä;Huiveja/ponchoja;Neulepaitoja;Neuletakkeja;Hameita/mekkoja;Sisustustekstiilejä (kuten tyynyjä tai vilttejä),Kotona/vapaa-ajan asunnolla;Autossa;Luennolla/Palaverissa,Yksin,10-19 tuntia,"Rentoutumista;Itseilmaisua;Hyväntekeväisyyttä, toisten auttamista",10 - 19 €,DROPS;Freija yarn;Handu;Holst Garn;Idän kehräämö;Istex;Jalovilla;Katia;Lankava;Louhittaren Luola;Novita;Nurja;Opal;Regia;Rva Silmusolmu;Sandnes Garn;Tukuwool;Vuonue,Hinta;Materiaali;Väri,Itselle;Perheelle;Sukulaisille;Ystäville;Hyväntekeväisyyteen,Fingering (365–450 m / 100 g);Sport (275–360 m / 100 g);DK (220–270 m / 100 g);Worsted (205–240 m / 100 g),Kirjoista;Lehdistä;Netistä,Yksiväristä ilman pintakuvioita,Sinistä;Vihreää;Keltaista;Pinkkiä;Lilaa/violettia,Kirkkaita ja neonvärejä,100% villa;Villasekoite;Puuvilla;Merinovilla;Pellava,Koivu;Metalli;Bambu,"Kirjonta/ristipistot;Ompelu;Macrame;Askartelu;Langanvärjäys;Virkkaus, ei huolinut täppää siihen kohtaan. ",Kuuntelen radiota/musiikkia;Kuuntelen äänikirjaa;Katson televisiota;Seurustelen ihmisten kanssa,Neulepodcastit;Instagram;Facebook-sivut;Facebook-ryhmät;Pinterest;Ravelry;Neuleblogit;Youtube,Fingering (360–450 m / 100 g);Sport (270–360 m / 100 g);DK (220–270 m / 100 g);Worsted (200–240 m / 100 g)
560,560,560,Nainen,10,Opettaja (koulussa tai kurssilla),Sukkia/tossuja;Säärystimiä;Lapasia/sormikkaita;Pipoja/päähineitä;Huiveja/ponchoja;Neulepaitoja;Neuletakkeja;Housuja;Hameita/mekkoja;Sisustustekstiilejä (kuten tyynyjä tai vilttejä),Kotona/vapaa-ajan asunnolla;Julkisessa liikenteessä;Neuletapahtumissa;Puistossa;Rannalla,Yksin;Perheen seurassa;Ystävien kesken;Neulekerhossa tai -kahvilassa,30-39 tuntia,Rentoutumista;Itseilmaisua;Luovuutta,20 - 29 €,DROPS;Jalovilla;Novita;Vuonue,Hinta;Materiaali;Väri,Itselle;Perheelle;Sukulaisille;Ystäville,Lace (605–1000 m / 100 g);Fingering (365–450 m / 100 g);Sport (275–360 m / 100 g);DK (220–270 m / 100 g);Worsted (205–240 m / 100 g),Netistä,Pitsineuletta,Sinistä;Vihreää;Pinkkiä;Lilaa/violettia,Kirkkaita ja neonvärejä,100% villa;Villasekoite;Puuvilla;Merinovilla;Alpakka;Bambu,Metalli,Virkkaus,Kuuntelen radiota/musiikkia;Luen;Katson televisiota;Seurustelen ihmisten kanssa,Neulepodcastit;Instagram;Facebook-ryhmät;Ravelry;Youtube,Lace (600–1000 m / 100 g);Fingering (360–450 m / 100 g);Sport (270–360 m / 100 g);DK (220–270 m / 100 g);Worsted (200–240 m / 100 g)
561,561,561,Nainen,22,Opettelin itse,Sukkia/tossuja;Säärystimiä;Lapasia/sormikkaita;Pipoja/päähineitä;Huiveja/ponchoja;Neulepaitoja,Kotona/vapaa-ajan asunnolla;Luennolla/Palaverissa,Yksin;Ystävien kesken,6-9 tuntia,Rentoutumista;Luovuutta,10 - 19 €,Adlibris;DROPS;Gjestal;House;Kaupunkilanka;Lankava;Novita;Sandnes Garn;Viking Garn,Hinta;Materiaali;Väri,Itselle;Perheelle;Sukulaisille;Ystäville,Fingering (365–450 m / 100 g);DK (220–270 m / 100 g);Aran (165–200 m / 100 g),Kirjoista;Netistä;Ystäviltä tai sukulaisilta,Pitsineuletta,Sinistä;Vihreää,Kirkkaita ja neonvärejä,Villasekoite;Puuvilla,Koivu,Virkkaus;Kirjonta/ristipistot;Ompelu;Askartelu,Kuuntelen radiota/musiikkia;Kuuntelen äänikirjaa;Katson televisiota,Facebook-sivut;Facebook-ryhmät;Ravelry;Youtube;TikTok,Fingering (360–450 m / 100 g);DK (220–270 m / 100 g);Aran (160–200 m / 100 g)
562,562,562,Nainen,9,Isä,Sukkia/tossuja;Säärystimiä;Lapasia/sormikkaita;Huiveja/ponchoja;Neulepaitoja,Kotona/vapaa-ajan asunnolla;Autossa,Yksin;Perheen seurassa,10-19 tuntia,"Rentoutumista;Muistin ja toimintakyvyn ylläpitoa;Hyväntekeväisyyttä, toisten auttamista",10 - 19 €,Austermann;Gjestal;Kaupunkilanka;MyHome;Novita;Regia;Hjertegarn,Konepestävyys;Materiaali;Vahvuus,Itselle;Perheelle;Ystäville;Hyväntekeväisyyteen,Sport (275–360 m / 100 g);DK (220–270 m / 100 g);Worsted (205–240 m / 100 g),Lehdistä;Netistä;Omasta päästä,Raitoja;Pitsineuletta;Toistuvaa pintakuviota,"Mustaa, valkoista ja harmaata;Sinistä;Pinkkiä;Lilaa/violettia","Murrettuja, luonnonläheisiä sävyjä",Villasekoite;Merinovilla;villan ja puuvillan sekoite,Koivu,En juurikaan,Katson televisiota;Seurustelen ihmisten kanssa,Facebook-ryhmät;Pinterest;Ravelry;Youtube,Sport (270–360 m / 100 g);DK (220–270 m / 100 g);Worsted (200–240 m / 100 g)
